Date,Temperature (°C),Precipitation (mm),Pressure (hPa),Cloud Cover (%)
2005-01-01,-2.6,65.8,1020.9,75
2005-02-01,7.0,11.8,1015.3,81
2005-03-01,16.9,3.8,1025.3,51
2005-04-01,13.9,144.4,1023.8,49
2005-05-01,18.7,125.4,1013.8,48
2005-06-01,29.4,104.4,1019.9,68
2005-07-01,29.7,61.3,1018.2,64
2005-08-01,23.4,26.0,1021.8,49
2005-09-01,13.7,23.5,1010.2,35
2005-10-01,9.2,37.5,1018.4,59
2005-11-01,1.0,82.4,1020.3,38
2005-12-01,-4.6,107.2,1006.2,37
2006-01-01,-5.0,99.0,1009.1,20
2006-02-01,-3.8,42.0,1004.8,97
2006-03-01,9.9,143.2,1013.7,66
2006-04-01,15.7,110.7,1018.6,85
2006-05-01,24.7,83.2,1022.5,57
2006-06-01,22.0,91.8,1015.4,70
2006-07-01,28.0,62.9,1023.1,82
2006-08-01,24.4,37.2,1008.1,23
2006-09-01,14.9,53.4,1006.5,20
2006-10-01,12.0,113.7,1014.7,27
2006-11-01,1.6,2.2,1016.9,48
2006-12-01,1.9,17.4,1014.8,74
2007-01-01,0.8,6.9,1004.7,22
2007-02-01,2.5,6.1,1014.6,51
2007-03-01,10.9,128.3,1008.5,29
2007-04-01,22.4,105.5,1018.3,93
2007-05-01,18.1,71.1,1016.8,53
2007-06-01,23.4,14.7,1010.3,74
2007-07-01,23.1,73.7,1012.4,51
2007-08-01,23.3,71.0,1009.7,69
2007-09-01,13.1,26.0,1014.7,26
2007-10-01,13.6,65.1,1019.8,27
2007-11-01,9.3,59.8,1010.1,84
2007-12-01,-2.9,92.4,1017.5,76
2008-01-01,-4.2,95.3,1012.3,86
2008-02-01,2.4,6.8,1011.0,78
2008-03-01,8.3,56.2,1014.5,91
2008-04-01,16.9,93.9,1009.8,73
2008-05-01,20.6,75.5,1012.2,86
2008-06-01,20.5,128.5,1009.0,70
2008-07-01,29.6,98.8,1024.8,27
2008-08-01,30.4,24.4,1015.2,53
2008-09-01,13.2,10.6,1011.5,54
2008-10-01,8.8,96.4,1016.1,97
2008-11-01,5.9,4.0,1014.4,51
2008-12-01,1.7,87.9,1013.9,65
2009-01-01,3.3,141.0,1018.1,35
2009-02-01,10.1,86.3,1018.8,87
2009-03-01,9.5,58.2,1012.3,56
2009-04-01,12.6,96.5,1012.1,73
2009-05-01,15.9,68.7,1013.6,33
2009-06-01,22.8,81.8,1003.5,74
2009-07-01,24.9,141.2,1007.4,67
2009-08-01,30.4,57.9,1021.8,26
2009-09-01,13.4,144.2,1023.2,93
2009-10-01,10.7,135.8,1013.8,26
2009-11-01,5.0,29.4,1017.9,52
2009-12-01,5.9,10.4,1016.6,42
2010-01-01,12.6,15.1,1030.4,38
2010-02-01,-2.7,2.7,1020.6,38
2010-03-01,8.5,14.2,1014.4,55
2010-04-01,18.1,102.5,1010.2,48
2010-05-01,22.0,10.7,1007.0,79
2010-06-01,30.5,47.8,1016.0,21
2010-07-01,26.8,126.7,1011.2,20
2010-08-01,23.9,3.5,1007.9,66
2010-09-01,16.8,122.2,1011.8,88
2010-10-01,13.3,42.3,1009.6,39
2010-11-01,7.5,17.7,1023.4,30
2010-12-01,2.5,104.5,1019.4,21
2011-01-01,5.3,94.3,1015.0,86
2011-02-01,5.8,131.6,1022.4,31
2011-03-01,14.1,110.3,1015.4,39
2011-04-01,16.9,120.5,1010.7,24
2011-05-01,19.5,42.3,1022.6,56
2011-06-01,25.4,26.6,1017.7,57
2011-07-01,28.6,112.6,1009.8,28
2011-08-01,22.5,121.0,1014.0,72
2011-09-01,16.1,148.6,1010.6,63
2011-10-01,8.8,61.9,1008.1,43
2011-11-01,5.1,55.8,1019.6,93
2011-12-01,6.4,116.5,1024.5,49
2012-01-01,1.0,51.1,1008.0,78
2012-02-01,0.2,139.6,1017.8,33
2012-03-01,5.9,128.8,1011.7,28
2012-04-01,17.2,64.3,1012.6,59
2012-05-01,21.9,112.6,1012.0,85
2012-06-01,31.5,113.2,1010.7,44
2012-07-01,24.1,15.5,1015.2,92
2012-08-01,25.7,135.4,1010.8,41
2012-09-01,15.7,75.8,1016.4,23
2012-10-01,14.7,124.0,1014.7,45
2012-11-01,4.7,48.0,1013.8,77
2012-12-01,1.4,134.3,1010.5,48
2013-01-01,3.0,58.4,1012.1,56
2013-02-01,0.9,1.6,1018.8,94
2013-03-01,8.7,135.8,1017.5,89
2013-04-01,15.6,13.7,1010.1,37
2013-05-01,23.2,47.9,1015.5,61
2013-06-01,21.9,142.5,1018.8,60
2013-07-01,25.4,142.6,1006.7,57
2013-08-01,22.9,86.0,1017.7,53
2013-09-01,18.6,94.8,1011.7,36
2013-10-01,5.4,67.3,1017.9,56
2013-11-01,3.3,44.0,1011.2,44
2013-12-01,1.9,49.3,1006.0,95
2014-01-01,7.8,100.9,1006.9,46
2014-02-01,-0.3,112.9,1015.2,76
2014-03-01,8.3,118.7,1016.3,50
2014-04-01,20.6,118.4,1010.5,25
2014-05-01,15.7,13.7,1018.2,59
2014-06-01,18.4,74.2,1006.7,31
2014-07-01,26.3,8.6,1014.7,72
2014-08-01,23.5,82.4,1008.9,90
2014-09-01,11.9,66.2,1011.7,29
2014-10-01,12.1,133.2,1015.2,64
2014-11-01,5.7,52.6,1010.7,36
2014-12-01,-2.8,17.6,1013.1,45
2015-01-01,-6.4,21.4,1020.0,81
2015-02-01,4.4,114.2,1012.1,65
2015-03-01,12.0,92.7,1019.2,83
2015-04-01,14.7,15.2,1009.4,21
2015-05-01,25.5,12.6,1017.6,73
2015-06-01,21.8,105.1,1022.2,84
2015-07-01,20.4,10.9,1002.6,70
2015-08-01,22.9,123.3,1011.0,72
2015-09-01,14.9,105.9,1017.9,55
2015-10-01,10.7,12.2,1014.0,45
2015-11-01,4.3,12.7,1016.9,48
2015-12-01,1.8,148.0,1012.0,40
2016-01-01,-6.3,56.1,1015.4,30
2016-02-01,7.2,55.6,1014.2,59
2016-03-01,9.8,121.9,1020.8,30
2016-04-01,18.4,142.1,1016.3,55
2016-05-01,21.0,147.9,1016.7,78
2016-06-01,26.4,113.0,1012.9,58
2016-07-01,26.7,56.4,1012.6,73
2016-08-01,26.3,12.5,1012.8,74
2016-09-01,16.9,116.6,1017.0,43
2016-10-01,14.0,83.8,1012.9,41
2016-11-01,5.6,63.6,1016.4,88
2016-12-01,3.5,136.0,1025.4,75
2017-01-01,-0.4,16.7,1019.4,52
2017-02-01,7.2,73.9,1013.4,55
2017-03-01,8.0,1.7,1021.0,39
2017-04-01,20.4,70.3,1013.0,81
2017-05-01,19.9,8.4,1004.8,92
2017-06-01,20.7,17.8,1010.0,45
2017-07-01,25.4,17.6,1005.6,85
2017-08-01,23.0,97.4,1013.2,92
2017-09-01,17.5,111.9,1015.1,92
2017-10-01,8.0,87.5,1023.4,59
2017-11-01,3.7,144.3,1016.6,36
2017-12-01,-9.4,56.2,1013.9,20
2018-01-01,-2.3,42.9,1019.1,80
2018-02-01,-12.1,130.3,1003.9,62
2018-03-01,5.2,33.5,1016.2,61
2018-04-01,17.3,144.5,1018.9,44
2018-05-01,22.4,1.8,1007.6,58
2018-06-01,26.3,145.5,1020.7,54
2018-07-01,22.1,6.5,1016.7,22
2018-08-01,24.9,133.7,1012.9,63
2018-09-01,15.0,79.2,1018.2,70
2018-10-01,6.5,148.9,1026.4,31
2018-11-01,9.5,11.1,1015.9,38
2018-12-01,4.4,83.1,1016.2,63
2019-01-01,-1.1,145.4,1012.7,78
2019-02-01,0.1,78.5,1010.8,68
2019-03-01,10.6,94.4,1019.2,80
2019-04-01,8.9,104.4,1010.7,36
2019-05-01,19.3,68.2,1015.4,93
2019-06-01,23.0,94.1,1012.6,76
2019-07-01,22.0,87.6,1017.4,74
2019-08-01,24.2,135.2,1016.7,66
2019-09-01,20.4,6.8,1020.2,31
2019-10-01,11.9,42.1,1012.4,81
2019-11-01,3.3,142.6,1013.7,99
2019-12-01,2.9,133.5,1010.1,27
2020-01-01,7.0,68.3,1012.8,40
2020-02-01,4.6,93.0,1016.9,99
2020-03-01,10.2,41.6,1018.8,89
2020-04-01,13.1,28.2,1010.4,91
2020-05-01,22.1,69.6,1019.3,44
2020-06-01,26.2,53.0,1021.8,31
2020-07-01,27.7,87.5,1017.1,34
2020-08-01,26.9,11.7,1024.4,78
2020-09-01,18.1,146.2,1011.1,45
2020-10-01,8.4,147.9,1008.8,45
2020-11-01,9.0,104.7,1006.1,66
2020-12-01,1.0,80.4,1022.5,51
2021-01-01,10.4,46.4,1018.3,29
2021-02-01,-3.4,122.1,1014.7,35
2021-03-01,15.2,102.7,1016.4,90
2021-04-01,15.6,24.4,1009.4,36
2021-05-01,18.0,136.6,1027.2,42
2021-06-01,23.5,123.4,1015.6,45
2021-07-01,24.0,142.5,1015.5,26
2021-08-01,26.3,108.9,1018.6,33
2021-09-01,16.6,92.0,1017.4,98
2021-10-01,8.3,62.7,1016.1,26
2021-11-01,4.9,139.9,1011.0,28
2021-12-01,10.7,129.9,1017.4,67
2022-01-01,8.6,6.8,1024.4,91
2022-02-01,2.2,4.0,1021.7,78
2022-03-01,10.1,56.5,1023.0,58
2022-04-01,15.4,121.6,1012.4,37
2022-05-01,21.8,148.1,1010.1,78
2022-06-01,21.9,22.6,1014.4,36
2022-07-01,24.2,89.1,1015.3,33
2022-08-01,20.0,57.1,1020.5,50
2022-09-01,16.2,145.5,1006.5,43
2022-10-01,11.9,126.3,1022.6,79
2022-11-01,3.6,125.7,1014.2,64
2022-12-01,7.9,70.3,1012.9,22
2023-01-01,-6.1,62.2,1009.9,56
